division_numeric_code,name_country,name_region,name_sub_region,region_numeric_code,sub_region_numeric_code,is_developed_region,is_less_developed_region,is_least_developed_country,is_in_sub_saharan_africa,is_unmarried_sexual_activity,is_low_population,is_fp2020,subcluster,cluster,,
404,Kenya,Africa,Eastern Africa,903,910,N,Y,N,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
450,Madagascar,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
454,Malawi,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
175,Mayotte,Africa,Eastern Africa,903,910,N,Y,N,Y,N,N,N,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
508,Mozambique,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
638,RÈunion,Africa,Eastern Africa,903,910,N,Y,N,Y,Y,N,N,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
646,Rwanda,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
706,Somalia,Africa,Eastern Africa,903,910,N,Y,Y,Y,N,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
728,South Sudan,Africa,Eastern Africa,903,910,N,Y,Y,Y,N,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
800,Uganda,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
834,United Republic of Tanzania,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
894,Zambia,Africa,Eastern Africa,903,910,N,Y,Y,Y,Y,N,Y,Eastern Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa
446,"China, Macao Special Administrative Region",Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,N,East Asia,East Asia,,
158,Other non-specified areas,Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,N,East Asia,East Asia,,
496,Mongolia,Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,Y,Mongolia,"Central Europe, Eastern Europe, and Central Asia",Mongolia,"Central Europe, Eastern Europe, and Central Asia"
344,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,N,High-income Asia Pacific,High-income,High-income Asia Pacific,High-income
392,Japan,Asia,Eastern Asia,935,906,Y,N,N,N,Y,N,N,High-income Asia Pacific,High-income,High-income Asia Pacific,High-income
410,Republic of Korea,Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,N,High-income Asia Pacific,High-income,High-income Asia Pacific,High-income
156,China,Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,N,East Asia,East Asia,East Asia,East Asia
408,Democratic People's Republic of Korea,Asia,Eastern Asia,935,906,N,Y,N,N,Y,N,Y,East Asia,East Asia,East Asia,East Asia
112,Belarus,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
498,Republic of Moldova,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
642,Romania,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
643,Russian Federation,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
804,Ukraine,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
203,Czechia,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
348,Hungary,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
616,Poland,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
703,Slovakia,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
100,Bulgaria,Europe,Eastern Europe,908,923,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
