division_numeric_code,name_country,name_region,name_sub_region,region_numeric_code,sub_region_numeric_code,is_developed_region,is_less_developed_region,is_least_developed_country,is_in_sub_saharan_africa,is_unmarried_sexual_activity,is_low_population,is_fp2020,subcluster,cluster,,
20,Andorra,Europe,Southern Europe,908,925,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
292,Gibraltar,Europe,Southern Europe,908,925,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
336,Holy See,Europe,Southern Europe,908,925,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
674,San Marino,Europe,Southern Europe,908,925,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
191,Croatia,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
705,Slovenia,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Central Europe,"Central Europe, Eastern Europe, and Central Asia",Central Europe,"Central Europe, Eastern Europe, and Central Asia"
8,Albania,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
70,Bosnia and Herzegovina,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
499,Montenegro,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
688,Serbia,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
807,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,908,925,Y,N,N,N,Y,N,N,Balkans,"Central Europe, Eastern Europe, and Central Asia",Balkans,"Central Europe, Eastern Europe, and Central Asia"
204,Benin,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
854,Burkina Faso,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
132,Cabo Verde,Africa,Western Africa,903,914,N,Y,N,Y,Y,N,N,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
384,Côte d'Ivoire,Africa,Western Africa,903,914,N,Y,N,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
270,Gambia,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
288,Ghana,Africa,Western Africa,903,914,N,Y,N,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
324,Guinea,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
624,Guinea-Bissau,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
430,Liberia,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
466,Mali,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
478,Mauritania,Africa,Western Africa,903,914,N,Y,Y,Y,N,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
562,Niger,Africa,Western Africa,903,914,N,Y,Y,Y,N,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
566,Nigeria,Africa,Western Africa,903,914,N,Y,N,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
686,Senegal,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
694,Sierra Leone,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
768,Togo,Africa,Western Africa,903,914,N,Y,Y,Y,Y,N,Y,Western Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa
654,Saint Helena,Africa,Western Africa,903,914,N,Y,N,Y,Y,Y,N,Western Africa,Sub-Saharan Africa,,
196,Cyprus,Asia,Western Asia,935,922,N,Y,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
376,Israel,Asia,Western Asia,935,922,N,Y,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
48,Bahrain,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
368,Iraq,Asia,Western Asia,935,922,N,Y,N,N,N,N,Y,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
400,Jordan,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
414,Kuwait,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
422,Lebanon,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
512,Oman,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
634,Qatar,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
682,Saudi Arabia,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
275,State of Palestine,Asia,Western Asia,935,922,N,Y,N,N,N,N,Y,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
760,Syrian Arab Republic,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
792,Turkey,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
784,United Arab Emirates,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
887,Yemen,Asia,Western Asia,935,922,N,Y,Y,N,N,N,Y,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,North Africa and Middle East
51,Armenia,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,Caucasus,"Central Europe, Eastern Europe, and Central Asia",Caucasus,"Central Europe, Eastern Europe, and Central Asia"
31,Azerbaijan,Asia,Western Asia,935,922,N,Y,N,N,N,N,N,Caucasus,"Central Europe, Eastern Europe, and Central Asia",Caucasus,"Central Europe, Eastern Europe, and Central Asia"
268,Georgia,Asia,Western Asia,935,922,N,Y,N,N,Y,N,N,Caucasus,"Central Europe, Eastern Europe, and Central Asia",Caucasus,"Central Europe, Eastern Europe, and Central Asia"
40,Austria,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
56,Belgium,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
250,France,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
276,Germany,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
442,Luxembourg,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
528,Netherlands,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
756,Switzerland,Europe,Western Europe,908,926,Y,N,N,N,Y,N,N,Western Europe,High-income,Western Europe,High-income
438,Liechtenstein,Europe,Western Europe,908,926,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
492,Monaco,Europe,Western Europe,908,926,Y,N,N,N,Y,Y,N,Western Europe,High-income,,
